0,1
0,5
0,7
0,13
0,14
0,15
0,16
0,17
0,19
0,20
0,22
0,24
0,35
0,37
0,41
0,42
0,47
0,48
0,50
1,2
1,3
1,4
1,14
1,20
1,23
1,25
1,28
1,29
1,33
1,35
1,41
1,43
1,44
1,45
2,6
2,7
2,9
2,22
2,26
2,29
2,37
2,39
2,41
2,43
2,50
3,4
3,6
3,8
3,9
3,13
3,15
3,21
3,30
3,34
3,38
3,40
3,43
3,50
4,7
4,31
4,35
4,36
4,37
4,46
4,48
5,8
5,10
5,15
5,18
5,19
5,21
5,24
5,27
5,33
5,36
5,46
5,49
6,14
6,21
6,28
6,31
6,33
6,40
6,45
6,49
7,8
7,10
7,12
7,16
7,17
7,19
7,21
7,23
7,24
7,28
7,29
7,31
7,35
7,38
7,39
8,13
8,14
8,15
8,16
8,22
8,25
8,29
8,33
8,39
8,43
8,46
8,48
9,10
9,12
9,25
9,26
9,29
9,30
9,38
9,39
9,41
9,42
9,43
9,46
9,47
9,48
9,49
10,11
10,12
10,14
10,16
10,20
10,27
10,30
10,31
10,35
10,47
11,22
11,23
11,27
11,29
11,31
11,37
11,38
11,45
11,50
12,14
12,16
12,18
12,26
12,31
12,33
12,34
12,35
12,38
12,42
12,44
12,46
12,47
12,48
13,24
13,28
13,30
13,31
13,39
13,40
13,46
13,48
13,50
14,22
14,23
14,27
14,42
14,44
14,50
15,20
15,24
15,27
15,33
15,39
15,40
15,45
15,47
16,24
16,27
16,35
16,42
16,45
17,24
17,26
17,35
17,41
17,45
18,20
18,22
18,25
18,30
18,33
18,39
18,45
18,49
18,50
19,21
19,24
19,27
19,36
19,37
19,43
19,45
19,50
20,22
20,23
20,27
20,28
20,31
20,32
20,38
20,42
20,46
21,29
21,32
21,35
21,37
21,40
21,44
21,49
22,24
22,26
22,27
22,45
22,46
22,50
23,33
23,43
23,48
24,25
24,26
24,28
24,33
24,36
24,43
24,44
24,48
24,50
25,27
25,31
25,34
25,37
25,40
25,41
25,42
25,48
26,31
26,33
26,34
26,35
26,37
26,40
26,44
26,45
26,46
26,49
27,33
27,35
27,36
27,43
27,46
27,50
28,29
28,31
28,34
28,40
28,42
28,43
28,49
29,31
29,35
29,36
29,38
29,40
29,41
29,43
29,46
29,47
30,31
30,33
30,34
30,35
30,46
31,32
31,38
31,40
31,42
31,43
31,47
31,48
31,49
32,36
32,40
32,42
32,45
33,35
33,36
33,38
33,39
33,40
33,41
33,43
34,36
34,38
34,41
34,46
34,48
35,40
35,41
35,43
35,50
36,38
36,40
36,41
36,44
37,39
37,45
38,42
39,44
39,47
39,49
40,41
40,44
40,50
41,45
42,43
42,45
42,47
42,49
42,50
43,44
43,46
44,45
44,46
44,47
44,49
44,50
47,49
47,50
